_id,CURRENT BUILDING EVAL SCORE,FENCING,BUILDING CLEANLINESS,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,CLEANING LOG,PEST CONTROL LOG,MAINTENANCE LOG,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,INT. HALLWAY - WALLS / CEILING,LATITUDE,LONGITUDE
2039,81,3,3,2,3,3,3,1,1,3,2,43.690799353,-79.456216348
1275,80,1,3,3,3,2,1,3,1,3,2,43.690839177,-79.473005863
1191,81,2,2,3,3,3,1,1,1,3,2,43.690864521,-79.265477585
1192,88,2,2,3,3,3,3,3,3,3,2,43.690864521,-79.265477585
481,97,3,3,3,3,3,3,3,3,3,3,43.69086838,-79.343018227
482,82,1,2,2,1,3,3,3,1,3,2,43.690921109,-79.342650483
1246,74,2,2,2,2,2,2,2,0,0,2,43.69095169,-79.470613783
856,92,1,3,3,3,3,3,3,3,1,3,43.691003539,-79.395988686
1245,77,3,3,2,3,2,3,3,3,1,2,43.691016873,-79.470029198
1244,95,3,3,3,3,1,3,3,3,3,2,43.691064563,-79.469709791
1247,82,1,3,3,3,3,3,3,3,3,2,43.691135465,-79.471860488
711,85,1,3,3,3,1,3,3,1,3,2,43.6911592011,-79.5020724213
714,60,1,1,1,3,1,1,1,1,1,1,43.6912694994,-79.4611736756
3496,98,3,3,3,3,3,3,3,3,3,3,43.691279311,-79.286865733
2859,92,3,3,3,3,3,3,3,3,3,2,43.691373061,-79.508905814
2340,82,3,2,3,3,2,3,3,3,3,2,43.691392389,-79.392540864
2338,89,3,3,2,3,3,1,2,3,1,2,43.691498395,-79.394776135
2357,97,3,3,3,3,3,3,3,3,3,3,43.69155501,-79.470080451
1538,84,3,2,2,3,2,3,2,1,3,2,43.6915639113,-79.4491372654
1368,85,3,3,3,3,3,3,3,3,3,2,43.691599597,-79.356843843
3452,89,2,3,2,3,3,3,3,3,3,2,43.691627521,-79.434491531
1369,74,1,3,2,3,1,1,1,1,1,3,43.691632295,-79.357334424
990,82,3,2,2,3,1,1,1,1,1,1,43.691667031,-79.396207889
1367,80,1,3,2,3,3,3,3,1,3,1,43.691669118,-79.356463305
1243,88,3,1,3,3,1,3,3,1,3,1,43.691689887,-79.469408058
2040,99,3,3,3,3,3,3,3,3,3,3,43.691729939,-79.456536022
1366,80,1,3,3,3,3,3,3,1,3,2,43.691747719,-79.356099645
635,95,3,3,3,2,3,3,3,3,3,1,43.691752021,-79.505067791
