Total - Visible minority for the population in private households - 25% sample data,  Total visible minority population,    South Asian,    Chinese,    Black,    Filipino,    Arab,    Latin American,    Southeast Asian,    West Asian,    Korean,    Japanese,"    Visible minority, n.i.e.",    Multiple visible minorities,  Not a visible minority,Neighbourhood Number
20160,16410,2320,6625,250,435,370,310,355,2315,2570,285,140,435,3745,151
15485,12005,800,6615,560,230,265,160,130,1505,1135,130,105,350,3475,152
13790,10170,1585,3300,325,400,325,365,175,1830,1250,125,180,310,3620,153
21415,14840,725,265,5655,2595,145,2505,1765,195,65,10,455,460,6575,154
17970,9960,900,570,1575,3475,240,1245,920,125,175,15,240,470,8005,155
18685,14670,6205,3235,1065,1610,305,280,255,580,115,80,380,570,4020,156
10725,8095,3930,495,850,1350,230,185,120,225,55,45,280,345,2625,157
23460,7900,1540,825,1575,870,415,730,395,325,505,105,220,390,15570,158
23600,11900,3290,900,2030,1060,380,1100,305,325,1150,175,585,600,11695,159
17045,6075,1155,620,905,795,260,495,240,185,170,90,795,355,10970,160
22600,9850,2295,1280,1505,510,525,1095,325,640,305,110,690,570,12750,161
13170,4815,905,1035,695,420,150,535,190,160,60,150,120,385,8355,162
19910,9335,2570,1540,1340,610,410,805,405,365,435,125,230,505,10575,163
25570,12975,3205,3975,1035,485,685,740,540,650,545,190,230,685,12600,164
28130,17365,5540,4380,1780,645,830,1205,560,655,545,170,310,760,10765,165
31285,16165,4150,3800,2830,780,740,955,405,625,540,205,320,820,15120,166
22320,12070,2645,3770,920,515,470,890,505,680,810,240,180,450,10250,167
17695,10280,2415,2830,1425,460,540,535,290,355,555,175,180,515,7420,168
16670,10780,1635,5325,600,335,505,315,275,525,690,150,95,320,5890,169
12645,9050,1870,3470,570,215,715,360,295,275,635,150,145,345,3600,170
23180,8805,1630,1495,1755,550,210,1120,650,120,240,125,280,630,14380,171
12380,3900,620,1055,540,185,75,445,285,40,190,65,115,280,8485,172
15885,8160,1570,1050,1025,775,220,1050,245,1000,595,115,145,370,7730,173
22735,10445,2915,1440,1135,520,410,1075,190,985,870,215,225,460,12290,174
