_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
847,GO-2022973725,2022,2022-05-16,205,2022,2022-05-24,959,D53,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,No,Assault,095,Annex (95),095,Annex (95),No
848,GO-2022929403,2022,2022-05-17,1720,2022,2022-05-18,849,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),No
849,GO-2022930329,2022,2022-05-18,900,2022,2022-05-18,955,D33,Religious Place of Worship/Cultural Centre,NO,NO,None,None,None,None,2SLGBTQ+,None,No,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),No
850,GO-2022936734,2022,2022-05-18,1800,2022,2022-05-19,840,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),No
851,GO-2022941259,2022,2022-05-19,1810,2022,2022-05-19,1830,D52,Other Commercial / Corporate Places ,NO,NO,None,None,None,None,Gay,None,No,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),No
852,GO-2022949224,2022,2022-05-20,2000,2022,2022-05-20,2000,D42,Public Transportation,NO,NO,Black,None,None,None,None,None,No,Mischief Under $5000,145,Malvern West (145),132,Malvern (132),No
853,GO-2022958627,2022,2022-05-21,2320,2022,2022-05-21,2328,D22,"Open Area, Park or Parking Lot",NO,NO,None,None,None,Muslim,None,None,No,Mischief Interfere With Property,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),No
854,GO-2022967269,2022,2022-05-21,930,2022,2022-05-23,1050,D22,"Open Area, Park or Parking Lot",NO,NO,None,None,None,None,2SLGBTQ+,None,No,Mischief Under $5000,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),No
855,GO-2022982864,2022,2022-05-25,1336,2022,2022-05-25,1336,D13,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Jewish,None,None,No,Assault With a Weapon,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),Yes
856,GO-2022984269,2022,2022-05-25,1646,2022,2022-05-25,1646,D32,NA,NO,NO,Black,None,None,None,None,None,No,"Mischief To Religious Property, Educational Institutions, Etc.",040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),No
